Iteration,Fitness,Chromosomes
0,4.69,[15.82, -0.42, 21.91, 0.61, -20.51]
10,1.86,[0.8, -1.12, -2.94, -0.17, 21.23]
20,0.42,[6.22, -0.3, -0.08, -0.42, 2.56]
30,0.26,[0.05, -0.04, -0.02, -0.57, -4.95]
40,0.04,[0.14, -0.03, 0.04, -0.02, -10.84]
50,0.01,[-0.1, -0.07, -0.05, 0.04, -19.05]
60,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
70,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
80,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
90,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
100,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
110,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
120,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
130,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
140,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
150,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
160,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
170,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
180,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
190,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]
200,0.0,[-0.0, -0.09, 0.0, -0.04, -1.85]